d,o,h,l,c,v
2020-05-16 15:00:00,201.29000000,201.47000000,200.68000000,201.00000000,8711.46520000
2020-05-16 15:30:00,201.01000000,201.12000000,200.07000000,200.70000000,14257.98386000
2020-05-16 16:00:00,200.70000000,201.38000000,200.16000000,200.16000000,10620.36140000
2020-05-16 16:30:00,200.16000000,200.48000000,198.60000000,200.29000000,20280.90615000
2020-05-16 17:00:00,200.30000000,200.71000000,199.75000000,200.07000000,8180.23719000
2020-05-16 17:30:00,200.04000000,200.54000000,197.85000000,198.75000000,27248.39119000
2020-05-16 18:00:00,198.72000000,199.54000000,198.09000000,199.09000000,15702.13564000
2020-05-16 18:30:00,199.09000000,199.36000000,198.30000000,199.05000000,7365.50688000
2020-05-16 19:00:00,199.01000000,200.37000000,198.45000000,200.18000000,10005.29159000
2020-05-16 19:30:00,200.19000000,200.44000000,199.85000000,200.07000000,4291.36351000
2020-05-16 20:00:00,200.11000000,200.47000000,199.55000000,200.47000000,4075.49965000
2020-05-16 20:30:00,200.45000000,200.65000000,200.00000000,200.22000000,5723.56550000
2020-05-16 21:00:00,200.23000000,201.40000000,200.09000000,200.98000000,11436.53043000
2020-05-16 21:30:00,200.98000000,201.93000000,200.82000000,201.55000000,9356.84939000
2020-05-16 22:00:00,201.55000000,201.60000000,200.74000000,201.00000000,5048.87676000
2020-05-16 22:30:00,201.00000000,202.00000000,200.67000000,201.44000000,6881.50650000
2020-05-16 23:00:00,201.48000000,201.75000000,200.89000000,201.10000000,5905.89806000
2020-05-16 23:30:00,201.08000000,201.12000000,200.33000000,200.45000000,7469.32498000
2020-05-17 00:00:00,200.44000000,200.92000000,199.68000000,200.84000000,12868.11839000
2020-05-17 00:30:00,200.84000000,201.97000000,200.79000000,201.91000000,10739.92806000
2020-05-17 01:00:00,201.94000000,202.58000000,201.30000000,202.22000000,11906.95910000
2020-05-17 01:30:00,202.24000000,202.56000000,201.38000000,201.40000000,5461.70992000
