d,o,h,l,c,v
2020-05-16 18:00:00,9321.80000000,9347.25000000,9290.49000000,9320.29000000,1231.05131000
2020-05-16 18:30:00,9318.34000000,9319.32000000,9262.00000000,9286.87000000,1864.79835400
2020-05-16 19:00:00,9286.96000000,9336.85000000,9268.00000000,9331.77000000,950.81046100
2020-05-16 19:30:00,9331.77000000,9353.32000000,9320.00000000,9329.78000000,772.46163700
2020-05-16 20:00:00,9329.78000000,9350.00000000,9294.17000000,9349.89000000,746.54240300
2020-05-16 20:30:00,9349.89000000,9392.78000000,9336.12000000,9383.00000000,986.71941300
2020-05-16 21:00:00,9382.72000000,9425.96000000,9355.00000000,9363.73000000,907.91131700
2020-05-16 21:30:00,9363.77000000,9390.09000000,9354.00000000,9381.88000000,515.94040900
2020-05-16 22:00:00,9381.88000000,9395.99000000,9360.56000000,9390.00000000,517.49429800
2020-05-16 22:30:00,9390.00000000,9442.98000000,9372.27000000,9421.67000000,1117.41787300
2020-05-16 23:00:00,9421.69000000,9436.63000000,9402.05000000,9411.79000000,546.55315400
2020-05-16 23:30:00,9411.79000000,9413.77000000,9363.39000000,9381.27000000,609.15630300
2020-05-17 00:00:00,9380.81000000,9426.55000000,9322.10000000,9421.34000000,1206.65726200
2020-05-17 00:30:00,9422.56000000,9507.00000000,9417.00000000,9480.00000000,2601.82032500
2020-05-17 01:00:00,9480.00000000,9520.00000000,9432.04000000,9505.66000000,1551.87946000
2020-05-17 01:30:00,9505.64000000,9521.53000000,9470.25000000,9471.78000000,1061.70873900
2020-05-17 02:00:00,9471.67000000,9555.10000000,9470.00000000,9528.04000000,1473.87192800
2020-05-17 02:30:00,9528.54000000,9552.89000000,9509.52000000,9512.99000000,661.52126200
2020-05-17 03:00:00,9512.53000000,9549.22000000,9493.13000000,9543.14000000,712.22039400
2020-05-17 03:30:00,9542.60000000,9579.16000000,9529.83000000,9545.58000000,1522.91193500
2020-05-17 04:00:00,9544.49000000,9573.63000000,9515.00000000,9543.96000000,850.58985200
2020-05-17 04:30:00,9544.45000000,9547.77000000,9506.92000000,9508.11000000,656.33906500
2020-05-17 05:00:00,9508.10000000,9532.94000000,9507.14000000,9512.69000000,475.50476600
2020-05-17 05:30:00,9511.99000000,9518.80000000,9475.00000000,9495.00000000,915.48992000
2020-05-17 06:00:00,9495.00000000,9533.82000000,9495.00000000,9522.94000000,607.37840900
2020-05-17 06:30:00,9523.04000000,9555.00000000,9523.00000000,9548.45000000,756.28592400
2020-05-17 07:00:00,9549.28000000,9567.85000000,9512.42000000,9516.88000000,1181.25339300
2020-05-17 07:30:00,9516.88000000,9549.00000000,9506.20000000,9540.99000000,607.67317600
2020-05-17 08:00:00,9540.98000000,9554.73000000,9481.26000000,9503.00000000,1027.78417600
2020-05-17 08:30:00,9503.00000000,9525.04000000,9480.04000000,9491.00000000,760.59254100
2020-05-17 09:00:00,9491.01000000,9507.59000000,9436.00000000,9496.60000000,994.39385600
2020-05-17 09:30:00,9495.65000000,9514.95000000,9486.00000000,9491.73000000,683.79555700
2020-05-17 10:00:00,9491.01000000,9535.81000000,9491.00000000,9529.04000000,713.86960400
2020-05-17 10:30:00,9529.31000000,9538.36000000,9510.50000000,9531.10000000,596.54762700
2020-05-17 11:00:00,9531.00000000,9535.49000000,9493.01000000,9514.33000000,946.74612800
2020-05-17 11:30:00,9513.96000000,9530.00000000,9497.12000000,9522.08000000,575.90093300
2020-05-17 12:00:00,9522.50000000,9749.97000000,9521.45000000,9736.65000000,6711.29520000
2020-05-17 12:30:00,9736.64000000,9774.95000000,9698.45000000,9767.50000000,2981.72870600
2020-05-17 13:00:00,9768.75000000,9787.00000000,9682.01000000,9729.99000000,2705.54719800
2020-05-17 13:30:00,9729.99000000,9750.96000000,9701.51000000,9744.99000000,1756.10401500
2020-05-17 14:00:00,9745.00000000,9770.00000000,9723.00000000,9756.69000000,1341.39812700
2020-05-17 14:30:00,9757.14000000,9822.00000000,9733.66000000,9809.91000000,2923.08523300
2020-05-17 15:00:00,9811.18000000,9888.00000000,9791.63000000,9828.26000000,4840.53709900
2020-05-17 15:30:00,9828.94000000,9829.90000000,9764.07000000,9822.32000000,2489.48749900
2020-05-17 16:00:00,9822.64000000,9840.00000000,9780.20000000,9784.03000000,1544.44999200
2020-05-17 16:30:00,9784.02000000,9805.85000000,9685.00000000,9739.00000000,2867.02885000
2020-05-17 17:00:00,9739.00000000,9761.37000000,9713.71000000,9751.14000000,1003.92591000
2020-05-17 17:30:00,9750.36000000,9770.98000000,9735.38000000,9759.99000000,646.52956400
2020-05-17 18:00:00,9760.00000000,9763.99000000,9735.00000000,9737.75000000,644.47697000
2020-05-17 18:30:00,9737.82000000,9763.70000000,9705.00000000,9749.98000000,1000.98850200
2020-05-17 19:00:00,9749.98000000,9761.00000000,9727.86000000,9752.08000000,624.10357100
2020-05-17 19:30:00,9752.09000000,9791.95000000,9749.25000000,9771.00000000,1066.65510300
2020-05-17 20:00:00,9771.29000000,9772.35000000,9722.96000000,9740.88000000,795.54496700
2020-05-17 20:30:00,9740.50000000,9763.53000000,9728.82000000,9740.14000000,546.55509600
2020-05-17 21:00:00,9741.62000000,9798.49000000,9738.25000000,9768.00000000,676.68721300
2020-05-17 21:30:00,9768.04000000,9786.79000000,9745.00000000,9764.52000000,638.36653600
2020-05-17 22:00:00,9764.62000000,9765.58000000,9595.20000000,9660.00000000,4189.79641700
2020-05-17 22:30:00,9660.00000000,9715.40000000,9650.00000000,9689.31000000,1436.42873700
2020-05-17 23:00:00,9689.31000000,9729.88000000,9666.67000000,9689.94000000,1131.54371300
2020-05-17 23:30:00,9689.88000000,9703.91000000,9657.91000000,9680.04000000,942.76387300
2020-05-18 00:00:00,9681.11000000,9788.46000000,9680.13000000,9768.46000000,2266.25094200
2020-05-18 00:30:00,9769.96000000,9781.12000000,9737.35000000,9778.38000000,923.17861900
2020-05-18 01:00:00,9778.34000000,9940.00000000,9757.54000000,9922.72000000,6424.71849700
2020-05-18 01:30:00,9923.32000000,9950.00000000,9869.49000000,9902.10000000,4509.40317100
2020-05-18 02:00:00,9902.62000000,9926.00000000,9827.79000000,9850.30000000,1880.24212300
2020-05-18 02:30:00,9851.47000000,9900.00000000,9847.67000000,9870.05000000,1219.63851000
2020-05-18 03:00:00,9870.05000000,9891.00000000,9845.00000000,9864.77000000,1122.18343100
2020-05-18 03:30:00,9863.87000000,9874.01000000,9816.27000000,9860.51000000,1134.46780300
2020-05-18 04:00:00,9860.51000000,9910.00000000,9830.00000000,9863.34000000,2123.96070900
2020-05-18 04:30:00,9862.17000000,9892.95000000,9847.45000000,9866.83000000,1156.94848900
2020-05-18 05:00:00,9866.40000000,9892.26000000,9851.56000000,9887.06000000,763.12992900
2020-05-18 05:30:00,9887.54000000,9902.87000000,9860.00000000,9861.07000000,1063.59292500
2020-05-18 06:00:00,9861.32000000,9884.54000000,9730.00000000,9816.84000000,3251.42387200
2020-05-18 06:30:00,9816.79000000,9820.00000000,9755.04000000,9778.89000000,1619.25989300
2020-05-18 07:00:00,9778.90000000,9809.00000000,9750.00000000,9800.57000000,1039.63676700
2020-05-18 07:30:00,9800.57000000,9802.00000000,9735.60000000,9785.71000000,1121.68030300
2020-05-18 08:00:00,9785.70000000,9796.91000000,9760.00000000,9783.95000000,1047.29988600
2020-05-18 08:30:00,9783.96000000,9788.00000000,9464.23000000,9591.54000000,8488.54827200
2020-05-18 09:00:00,9591.57000000,9616.43000000,9557.36000000,9599.99000000,2589.80376800
2020-05-18 09:30:00,9599.58000000,9600.00000000,9541.34000000,9579.11000000,1826.55381400
2020-05-18 10:00:00,9579.10000000,9658.26000000,9566.96000000,9640.36000000,2274.86623600
2020-05-18 10:30:00,9641.40000000,9666.66000000,9610.07000000,9628.39000000,1598.76040000
2020-05-18 11:00:00,9629.24000000,9714.95000000,9627.63000000,9652.04000000,1601.96920000
2020-05-18 11:30:00,9653.31000000,9665.60000000,9625.00000000,9634.89000000,1440.25247700
2020-05-18 12:00:00,9634.89000000,9647.64000000,9582.22000000,9596.20000000,1940.54709600
2020-05-18 12:30:00,9595.22000000,9670.00000000,9565.10000000,9665.00000000,1304.92423600
2020-05-18 13:00:00,9665.00000000,9694.04000000,9642.29000000,9658.83000000,1693.82054800
2020-05-18 13:30:00,9658.83000000,9685.01000000,9638.64000000,9661.96000000,1192.65616800
2020-05-18 14:00:00,9661.97000000,9730.00000000,9631.82000000,9718.71000000,1878.27134800
2020-05-18 14:30:00,9718.72000000,9735.00000000,9678.00000000,9708.56000000,1227.17353600
2020-05-18 15:00:00,9708.50000000,9723.00000000,9684.55000000,9691.59000000,1047.79441900
2020-05-18 15:30:00,9691.35000000,9699.40000000,9639.74000000,9670.96000000,1616.06814700
2020-05-18 16:00:00,9670.97000000,9710.00000000,9608.20000000,9646.49000000,2223.60383800
2020-05-18 16:30:00,9646.49000000,9665.00000000,9601.03000000,9638.43000000,1333.48067500
2020-05-18 17:00:00,9638.42000000,9659.13000000,9614.47000000,9619.13000000,901.33059300
2020-05-18 17:30:00,9618.67000000,9629.54000000,9550.01000000,9625.07000000,2167.35852800
2020-05-18 18:00:00,9625.07000000,9650.00000000,9613.00000000,9628.34000000,893.32601400
2020-05-18 18:30:00,9629.10000000,9671.85000000,9613.66000000,9657.86000000,768.04376200
2020-05-18 19:00:00,9657.86000000,9720.00000000,9657.85000000,9710.00000000,1886.16286100
2020-05-18 19:30:00,9710.00000000,9718.95000000,9681.54000000,9701.70000000,1071.59688900
2020-05-18 20:00:00,9701.70000000,9720.00000000,9658.56000000,9682.62000000,702.38221200
2020-05-18 20:30:00,9682.63000000,9693.83000000,9650.00000000,9685.78000000,633.60103200
2020-05-18 21:00:00,9685.79000000,9726.86000000,9673.65000000,9710.59000000,668.60381800
2020-05-18 21:30:00,9711.51000000,9725.00000000,9681.59000000,9686.23000000,634.77631800
